sec,nanosec,frame_id,name0,name1,name2,name3,name4,position0,position1,position2,position3,position4,velocity0,velocity1,velocity2,velocity3,velocity4,effort0,effort1,effort2,effort3,effort4
880,461000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829314862714e-09,0.0034805717137821176,0.08210037617125648,6.27731044767603e-06,-0.10235767746047755,-1.205525486360876e-06,0.0,0.0,0.0,0.0,0.0
880,499000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829329422143e-09,0.0034805717137714773,0.08210037617104493,6.277310370513909e-06,-0.10235767745933771,-1.2055254862971206e-06,0.0,0.0,0.0,0.0,0.0
880,564000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829361836486e-09,0.0034805717135585547,0.08210037617134798,6.277310375621054e-06,-0.10235767745961867,-1.205525490441849e-06,0.0,0.0,0.0,0.0,0.0
880,599000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829385851638e-09,0.0034805717136785308,0.08210037617113737,6.277310390859593e-06,-0.10235767745919341,-1.2055254889955948e-06,0.0,0.0,0.0,0.0,0.0
880,686000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882930100963e-09,0.003480571713702973,0.08210037617123432,6.2773104209433915e-06,-0.10235767745979356,-1.2055254900686237e-06,0.0,0.0,0.0,0.0,0.0
880,773000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829236202394e-09,0.0034805717138014555,0.0821003761704649,6.277310425811663e-06,-0.10235767745907988,-1.2055254849784328e-06,0.0,0.0,0.0,0.0,0.0
880,864000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.440882929403184e-09,0.0034805717137856747,0.08210037617123314,6.277310332600537e-06,-0.10235767745921145,-1.205525485996131e-06,0.0,0.0,0.0,0.0,0.0
880,896000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829360387586e-09,0.003480571713657566,0.08210037617141097,6.277310417317792e-06,-0.10235767746005951,-1.2055254867933627e-06,0.0,0.0,0.0,0.0,0.0
880,964000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829292261048e-09,0.003480571713676061,0.0821003761713786,6.277310317479829e-06,-0.1023576774599521,-1.205525483661695e-06,0.0,0.0,0.0,0.0,0.0
881,53000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829297555515e-09,0.0034805717137483035,0.08210037617076574,6.277310379137586e-06,-0.1023576774582754,-1.2055254821230737e-06,0.0,0.0,0.0,0.0,0.0
881,95000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.440882925231518e-09,0.003480571713781971,0.08210037617083725,6.2773104832673465e-06,-0.10235767745935391,-1.2055254873793312e-06,0.0,0.0,0.0,0.0,0.0
881,180000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829282178198e-09,0.003480571713814701,0.08210037617087443,6.2773103563329245e-06,-0.10235767745931987,-1.2055254847244578e-06,0.0,0.0,0.0,0.0,0.0
